speed;rate;vol;wear;rough;cost;victories;defeats;draws
80;137.11;7097.5;6.31;0.41;5.9;403;596;0
80;50;10420.12;4.6;0.28;18.26;968;31;0
79.97;50.12;9430.5;4.64;0.29;15.75;772;227;0
80;54.7;5340.63;5.28;0.36;8.33;524;475;0
79.98;149.43;8279.3;7.24;0.38;6.97;280;719;0
80;142.39;7254.3;6.52;0.41;5.99;387;612;0
79.97;50.1;6643.74;4.94;0.33;10.43;561;438;0
80;50;11711.69;4.64;0.26;21.74;774;225;0
80;50;9698.95;4.62;0.29;16.43;839;160;0
80;150;9335.52;7.8;0.36;8.14;217;782;0
80;139.3;7535.06;6.56;0.4;6.3;370;629;0
79.97;137.22;7202.7;6.36;0.41;6;392;607;0
79.97;143.15;7366.61;6.59;0.4;6.09;377;622;0
80;50;9259.76;4.64;0.3;15.37;771;228;0
80;150;6016.94;6.23;0.43;4.86;444;555;0
80;149.91;9090.96;7.67;0.36;7.86;234;765;0
80;50;10117.1;4.61;0.28;17.48;911;88;0
80;50;10039.27;4.61;0.28;17.28;897;102;0
80;50;9354.18;4.63;0.3;15.6;788;211;0
79.94;125.33;5173.21;5.55;0.44;4.56;481;518;0
79.98;136.82;7385.72;6.42;0.41;6.18;374;625;0
80;145.14;5012.58;5.84;0.44;4.24;471;528;0
80;50;8107.84;4.72;0.32;12.9;655;344;0
80;144.14;11796.65;8.86;0.32;11.07;79;920;0
79.98;133.89;11655.1;8.4;0.33;11.28;56;943;0
80;50.02;8328.37;4.7;0.31;13.34;682;317;0
80;149.96;7595.43;6.91;0.4;6.25;345;654;0
80;61.6;6686.29;5.1;0.36;9.04;481;518;0
79.99;50;5546.26;5.19;0.34;9.1;563;436;0
80;50;10508.68;4.6;0.28;18.49;984;15;0
80;50;10206.87;4.61;0.28;17.71;929;70;0
80;50;9300.52;4.64;0.3;15.47;778;221;0
79.99;149.89;11806.86;9.08;0.31;10.9;106;893;0
80;149.01;7191.75;6.68;0.4;5.86;391;608;0
80;50;10336.12;4.61;0.28;18.04;949;50;0
80;50;9773.77;4.62;0.29;16.61;851;148;0
80;50;10351.39;4.61;0.28;18.08;956;43;0
80;136.97;7097.5;6.3;0.41;5.9;402;597;0
80;52.12;5000;5.36;0.35;8.31;531;468;0
79.98;135.28;6849.18;6.16;0.42;5.69;430;569;0
79.99;149.65;10952.64;8.61;0.33;9.98;122;877;0
79.95;147.42;7259.8;6.67;0.4;5.94;387;612;0
79.99;148.35;11843.6;9.04;0.32;10.98;98;901;0
79.99;50;7522.17;4.79;0.32;11.82;561;438;0
80;50;8209.9;4.71;0.31;13.1;669;330;0
80;149.89;9179.6;7.71;0.36;7.96;229;770;0
80;50;11326.29;4.62;0.27;20.69;855;144;0
80;149.14;7072.85;6.63;0.41;5.75;400;599;0
80;55.34;6096.56;5.12;0.35;9.05;528;471;0
80;50;11062.29;4.61;0.27;19.97;910;89;0
80;50;9954.65;4.61;0.29;17.07;880;119;0
79.99;84;5395.94;5.29;0.41;5.99;489;510;0
79.94;123.34;5543.1;5.57;0.44;4.83;479;520;0
80;50;9371.71;4.63;0.29;15.64;790;209;0
80;50;5664.1;5.16;0.34;9.23;556;443;0
80;50;9965.35;4.61;0.29;17.09;883;116;0
79.99;50;11646.65;4.63;0.26;21.57;786;213;0
79.99;54.29;6356.06;5.06;0.35;9.49;515;484;0
80;53.56;5000;5.36;0.36;8.15;521;478;0
80;50;8191.81;4.72;0.31;13.07;668;331;0
80;149.43;8016.55;7.1;0.39;6.69;300;699;0
80;50;11552.34;4.63;0.26;21.31;807;192;0
80;50;9430.51;4.63;0.29;15.78;798;200;1
80;50;10149.21;4.61;0.28;17.56;918;81;0
79.92;149.91;8134.83;7.18;0.38;6.81;288;711;0
80;50;9680.88;4.62;0.29;16.38;837;162;0
80;144.1;10588.62;8.23;0.34;9.7;154;845;0
80;50;11496.44;4.63;0.26;21.15;819;180;0
80;142.37;11655.32;8.71;0.32;10.97;80;919;0
79.98;50;8350.01;4.7;0.31;13.38;685;314;0
79.98;50;7708.56;4.77;0.32;12.15;589;410;0
80;50;9810.49;4.62;0.29;16.7;857;142;0
80;50;11197.06;4.61;0.27;20.34;881;118;0
80;50;9814.68;4.62;0.29;16.71;858;141;0
80;50;11631.05;4.63;0.26;21.52;792;207;0
80;58.06;6495.19;5.09;0.36;9.21;501;498;0
80;50;9379.6;4.63;0.29;15.66;791;208;0
80;50;8760.85;4.67;0.3;14.25;714;285;0
80;149.8;11702.44;9.01;0.32;10.79;110;889;0
79.94;50;10170.08;4.61;0.28;17.61;885;114;0
80;50;9835.05;4.62;0.29;16.77;860;139;0
80;50;11745.88;4.64;0.26;21.84;767;232;0
80;50;7594.96;4.78;0.32;11.95;575;424;0
79.99;149.45;6614.8;6.44;0.42;5.34;421;578;0
80;50;8831.32;4.66;0.3;14.4;719;280;0
80;50;10621.04;4.6;0.28;18.79;988;10;1
80;50;9641.42;4.62;0.29;16.29;831;168;0
79.95;53.29;5505.52;5.24;0.35;8.65;540;459;0
79.99;50.01;7209.28;4.84;0.33;11.3;541;458;0
80;50;9718.05;4.62;0.29;16.48;843;156;0
80;149.57;7292.01;6.75;0.4;5.95;380;619;0
80;59.27;6434.81;5.11;0.36;8.99;497;502;0
80;50.04;7143.09;4.85;0.33;11.19;543;456;0
80;50;11143.12;4.61;0.27;20.19;895;104;0
80;50.9;6970.02;4.9;0.33;10.8;544;455;0
80;50.76;6274.53;5.03;0.34;9.85;551;448;0
80;50;9664.88;4.62;0.29;16.34;834;165;0
80;149.81;7097.5;6.66;0.41;5.77;394;605;0
80;51.08;5000;5.35;0.35;8.44;536;463;0
80;50;8710.85;4.67;0.31;14.14;710;289;0
80;144.77;10819.34;8.37;0.33;9.95;130;869;0
80;50.01;7809.34;4.76;0.32;12.33;605;394;0
79.98;50;9128.87;4.65;0.3;15.07;750;249;0
79.98;50;11436.18;4.62;0.26;20.99;828;171;0
80;50.83;6494.36;4.98;0.34;10.13;550;449;0
80;50;11889.53;4.65;0.26;22.23;742;257;0
80;149.98;9283.93;7.77;0.36;8.08;219;780;0
79.97;53.29;5584.41;5.22;0.35;8.73;538;461;0
80;50;8958.06;4.66;0.3;14.68;734;265;0
79.94;51.64;5552.52;5.21;0.35;8.9;545;454;0
80;50;11844.49;4.65;0.26;22.11;749;250;0
80;137.92;11996.15;8.73;0.32;11.52;42;957;0
80;50;6938.18;4.88;0.33;10.88;549;450;0
79.95;50;8466.96;4.69;0.31;13.62;690;309;0
80;148.52;7391.78;6.76;0.4;6.06;369;630;0
80;50;11224.84;4.61;0.27;20.41;872;127;0
80;50;6989.21;4.88;0.33;10.96;548;451;0
80;147.54;5000;5.89;0.44;4.21;472;527;0
79.99;50;9499.31;4.63;0.29;15.94;806;193;0
79.99;50;10553.51;4.6;0.28;18.61;970;29;0
80;146.23;11172.3;8.6;0.33;10.31;103;896;0
80;149.96;10572.84;8.43;0.33;9.55;151;848;0
80;150;10095.53;8.19;0.34;9;197;802;0
79.99;50;11080.05;4.61;0.27;20.02;905;94;0
80;50;9520.92;4.63;0.29;15.99;810;189;0
80;50;10733.76;4.6;0.27;19.09;981;17;1
80;150;9426.48;7.85;0.36;8.24;216;783;0
79.99;149.89;10497.65;8.39;0.33;9.46;160;839;0
80;147.55;10599.19;8.35;0.33;9.63;149;850;0
80;147.94;7191.75;6.65;0.41;5.87;392;607;0
79.98;50;8071.86;4.73;0.32;12.83;649;350;0
80;148.64;7208.12;6.68;0.4;5.88;391;608;0
80;50;9203.79;4.64;0.3;15.24;764;235;0
80;50;7331.05;4.82;0.33;11.5;548;451;0
80;139.98;8565.58;7.08;0.38;7.41;282;717;0
80;50;10902.82;4.61;0.27;19.54;945;54;0
80;50;6686.29;4.93;0.33;10.51;560;439;0
80;59.22;6535.3;5.1;0.36;9.12;497;502;0
80;146.84;10819.34;8.44;0.33;9.9;128;871;0
80;143.2;11947.96;8.91;0.32;11.27;66;932;1
80;50;10252.25;4.61;0.28;17.83;937;62;0
79.99;147.13;10210.93;8.14;0.34;9.19;183;816;0
79.98;150;7745.42;6.98;0.39;6.4;326;673;0
79.99;149.98;9415.62;7.84;0.36;8.23;218;781;0
80;52.97;6287.89;5.06;0.35;9.57;528;471;0
80;132.49;5000;5.62;0.44;4.36;470;529;0
79.99;50.01;7244.43;4.84;0.33;11.36;544;455;0
80;50;10766.75;4.6;0.27;19.18;976;23;0
80;50;8564.71;4.68;0.31;13.83;701;298;0
80;52.91;6178.1;5.08;0.35;9.45;527;472;0
79.98;56.5;6442.76;5.08;0.35;9.33;507;492;0
