speed;rate;vol;wear;rough;cost;victories;defeats;draws
75.85;64.64;5000.04;2.52;0.38;17.18;411;588;0
74.23;82.85;5000.05;2.61;0.41;15.35;381;618;0
80;50;8392.82;2.18;0.31;33.22;675;324;0
70.22;88.71;5000.02;2.94;0.42;14.84;277;722;0
74.95;65.06;5000.52;2.6;0.38;17.1;384;615;0
60.06;132.96;5000.2;3.79;0.45;13.49;116;883;0
72.46;73.94;5000.01;2.79;0.4;16.03;325;674;0
61.36;132.95;5000;3.71;0.45;13.51;130;869;0
67.93;110;5000.04;3.14;0.44;13.95;242;757;0
74.23;79.44;5000.04;2.62;0.41;15.61;378;621;0
71.8;72.12;5000.02;2.85;0.4;16.18;304;695;0
47.84;132.11;5000;4.35;0.46;13.39;6;993;0
73.98;66.21;5000.26;2.68;0.38;16.92;358;641;0
80;50;7105.83;2.11;0.32;27.8;862;137;0
75.45;68.92;5000.08;2.54;0.39;16.66;406;593;0
70.17;113.63;5000.02;2.97;0.44;13.92;272;727;0
78.26;54.2;5000.05;2.3;0.35;18.8;506;493;0
71.61;89.07;5000.03;2.82;0.42;14.86;310;689;0
80;50;8068.5;2.17;0.31;31.86;723;276;0
61.9;103.88;5000.05;3.6;0.44;13.97;156;843;0
66.06;89.12;5012.72;3.29;0.42;14.72;211;788;0
65.22;91.59;5000.08;3.35;0.42;14.54;198;801;0
60.92;97.56;5000;3.67;0.43;14.16;137;862;0
54.83;136.69;5000;4.08;0.45;13.42;57;942;0
56.64;132.25;5000.02;3.99;0.45;13.45;83;916;0
72.42;69.56;5000;2.81;0.39;16.47;321;678;0
72.52;86.21;5000;2.75;0.42;15.06;331;668;0
80;50;6114.46;2.07;0.33;23.75;983;16;0
80;50;6089.27;2.07;0.33;23.65;986;13;0
74.01;67.26;5000.03;2.68;0.39;16.79;359;640;0
80;50;9610.67;2.2;0.3;38.2;588;411;0
70.92;68.22;5000.02;2.95;0.39;16.57;282;717;0
80;50;7507.4;2.14;0.32;29.49;806;193;0
79.98;50;9337.97;2.2;0.3;37.11;561;438;0
69.91;72.27;5000;3.02;0.4;16.1;268;731;0
80;54.48;5000.45;2.15;0.35;18.83;769;230;0
80;50;9376.94;2.2;0.3;37.27;564;435;0
80;50;7542.54;2.14;0.32;29.63;801;198;0
63.73;132.2;5000;3.55;0.45;13.55;161;838;0
63.13;98.27;5000.07;3.51;0.43;14.19;171;828;0
63.13;109.28;5000;3.51;0.44;13.85;173;826;0
73.23;67.47;5000.03;2.74;0.39;16.74;338;661;0
72.47;54.87;5000;2.83;0.36;18.44;305;694;0
50.34;132.39;5000.08;4.27;0.45;13.4;24;975;0
57.81;125.12;5000.03;3.9;0.45;13.51;95;904;0
68.61;102.12;5000;3.07;0.43;14.19;250;749;0
64.38;107.88;5000.01;3.42;0.44;13.91;192;807;0
65.92;79.81;5000.02;3.33;0.41;15.3;208;791;0
65.96;89.12;5000.14;3.3;0.42;14.69;208;791;0
77.04;55.35;5000.01;2.42;0.36;18.56;449;550;0
67.41;103.89;5000.01;3.17;0.43;14.1;234;765;0
66.13;79.01;5000;3.31;0.41;15.37;211;787;1
76.84;74.37;5000;2.4;0.4;16.14;460;539;0
66.28;98.19;5000.04;3.26;0.43;14.27;218;781;0
69.01;87.17;5000;3.05;0.42;14.9;256;743;0
73.91;76.14;5000;2.66;0.4;15.88;364;635;0
78.39;53.39;5000.05;2.29;0.35;18.94;515;484;0
79.08;55.48;5000;2.23;0.36;18.63;546;453;0
79.11;50.33;5001.16;2.21;0.34;19.52;558;441;0
79;121.85;5000.02;2.26;0.44;13.99;520;479;0
60.01;127.18;5000.05;3.78;0.45;13.52;120;879;0
61.44;100.97;5000.01;3.63;0.43;14.05;147;852;0
76.99;119.45;5000.03;2.42;0.44;13.98;439;560;0
68.46;71.49;5000.07;3.15;0.4;16.13;243;756;0
61.66;135.41;5000.04;3.7;0.45;13.51;129;870;0
73.89;72.27;5000.01;2.67;0.39;16.24;361;638;0
68.4;74.63;5000.03;3.14;0.4;15.82;245;754;0
77.62;61.8;5000.07;2.37;0.37;17.62;477;522;0
56.21;139.57;5000.09;4.02;0.45;13.44;67;932;0
69.79;88.35;5000.07;2.98;0.42;14.85;269;730;0
75.04;69.77;5000.47;2.58;0.39;16.55;394;605;0
48.4;132.44;5000;4.33;0.46;13.39;11;988;0
80;50;10826.31;2.16;0.3;42.87;748;251;0
78.09;65.71;5000.15;2.32;0.38;17.13;503;496;0
72.78;67.47;5000.08;2.78;0.39;16.72;326;673;0
80;50;7322.3;2.13;0.32;28.71;828;171;0
67.1;101.44;5000;3.2;0.43;14.17;228;771;0
69.58;79.09;5000.01;3.02;0.41;15.48;266;733;0
77.98;63.45;5001.69;2.33;0.38;17.42;495;504;0
77.58;57.48;5000;2.37;0.36;18.25;474;525;0
80;50;9034.53;2.2;0.31;35.88;592;407;0
66.17;107.81;5000.12;3.28;0.44;13.96;217;782;0
66.9;79.23;5000.02;3.25;0.41;15.38;225;774;0
57.03;132.62;5000;3.97;0.45;13.45;84;915;0
66.57;87.12;5000;3.25;0.42;14.82;218;781;0
71.4;65.2;5000.07;2.91;0.38;16.94;289;710;0
80;50;8047.01;2.17;0.31;31.76;725;274;0
55.93;126.53;5000.08;4.01;0.45;13.47;77;922;0
80;50;8999.46;2.2;0.31;35.73;594;405;0
77.87;56.67;5000.34;2.34;0.36;18.39;491;508;0
80;50;9931.51;2.19;0.3;39.47;626;373;0
72.82;69.3;5000.11;2.77;0.39;16.52;329;670;0
75.14;81.59;5000.3;2.53;0.41;15.47;406;593;0
80;50;7983.13;2.16;0.32;31.5;736;263;0
58.79;138.25;5000.09;3.88;0.45;13.46;94;905;0
79.1;52.9;5000.45;2.22;0.35;19.06;549;450;0
77.04;51.68;5000.31;2.41;0.35;19.18;454;545;0
80;50;9673.16;2.2;0.3;38.45;595;404;0
58.77;132.62;5000;3.87;0.45;13.47;102;897;0
65.46;135.33;5000;3.44;0.45;13.57;176;823;0
80;50;9916.93;2.19;0.3;39.41;624;375;0
64.05;101.07;5000.04;3.44;0.43;14.11;184;815;0
72.73;98.4;5000.01;2.72;0.43;14.44;340;659;0
74.55;68.41;5000;2.62;0.39;16.68;376;623;0
53.87;137.11;5000.01;4.13;0.45;13.42;52;947;0
78.96;71.16;5000;2.23;0.39;16.53;554;445;0
70.38;74.57;5000.04;2.97;0.4;15.9;278;721;0
49.74;132.59;5000;4.29;0.45;13.4;19;980;0
76.08;55.48;5000;2.5;0.36;18.5;415;584;0
54.01;132.43;5000.01;4.12;0.45;13.42;58;941;0
53.19;135.38;5000.23;4.16;0.45;13.41;46;953;0
67.61;91.46;5000.04;3.16;0.42;14.61;235;764;0
75.95;58.51;5000.04;2.52;0.37;18.03;412;587;0
62.02;90.2;5000.13;3.61;0.43;14.52;151;847;1
78.42;56.25;5000;2.29;0.36;18.48;514;485;0
80;50;11504.95;2.12;0.3;45.32;851;148;0
76.31;60.07;5000.14;2.49;0.37;17.82;425;574;0
70.48;67.11;5000.11;2.99;0.39;16.68;273;726;0
65.92;74.55;5000.05;3.35;0.4;15.74;204;795;0
73.6;84.71;5000;2.66;0.41;15.2;361;638;0
65.92;77.45;5000.02;3.34;0.41;15.49;206;793;0
55.37;133.12;5000.16;4.05;0.45;13.43;71;928;0
80;50;9067.04;2.2;0.31;36.01;587;412;0
80;50;11668.21;2.11;0.29;45.9;875;124;0
54.66;136.81;5000.08;4.09;0.45;13.42;59;940;0
75.37;59.89;5000;2.57;0.37;17.8;392;607;0
72.3;76.07;5000.03;2.8;0.4;15.83;324;675;0
80;50;9242.97;2.2;0.31;36.73;571;428;0
70.54;63.94;5000.06;2.99;0.38;17.06;270;729;0
71.85;59.73;5000;2.89;0.37;17.68;292;707;0
63.93;113.23;5000.06;3.46;0.44;13.78;183;816;0
77.58;65.71;5000.15;2.36;0.38;17.11;480;519;0
60.78;125.2;5000.01;3.72;0.45;13.55;131;868;0
80;50;6266.93;2.07;0.33;24.35;964;35;0
76.83;64.12;5000.05;2.43;0.38;17.28;446;553;0
80;50;6580.96;2.08;0.33;25.62;922;77;0
50.12;132.53;5000;4.28;0.45;13.4;22;977;0
52.97;135.38;5000.2;4.16;0.45;13.41;45;954;0
73.81;85.44;5000.02;2.64;0.41;15.15;364;635;0
75.87;57.16;5000.03;2.53;0.36;18.23;407;592;0
76.22;63.19;5000.15;2.49;0.38;17.38;424;575;0
80;50;7368.76;2.13;0.32;28.9;824;175;0
80;50;6053.07;2.07;0.33;23.51;989;10;0
67.31;100.36;5000;3.18;0.43;14.22;235;764;0
75.36;66.38;5000.02;2.56;0.38;16.95;399;600;0
71.16;112.68;5000.12;2.89;0.44;13.96;288;711;0
72.42;107.12;5000.05;2.76;0.43;14.14;322;677;0
80;50;9752.24;2.2;0.3;38.77;604;395;0
77.39;54.2;5000.01;2.38;0.35;18.77;464;535;0
79.27;52.52;5003.49;2.21;0.35;19.14;557;442;0
77.45;99.8;5000.01;2.32;0.43;14.52;497;502;0
77.68;63.27;5000.14;2.36;0.38;17.43;480;519;0
74.28;109.55;5000.05;2.61;0.43;14.12;371;628;0
57.81;118.99;5000.03;3.89;0.44;13.57;96;903;0
55.49;132.39;5000;4.05;0.45;13.44;70;929;0
70.03;102.09;5000;2.96;0.43;14.23;274;725;0
80;50;6977.17;2.1;0.32;27.26;876;123;0
61.98;104.53;5000.12;3.59;0.44;13.95;158;841;0
78.93;54.5;5000.19;2.25;0.35;18.78;540;459;0
51.47;132.5;5000;4.23;0.45;13.4;36;963;0
61.36;123.94;5000.01;3.68;0.44;13.57;138;861;0
79.85;60.56;5000.43;2.17;0.37;17.88;721;278;0
63.38;133.12;5000;3.58;0.45;13.54;157;842;0
80;50;10363.67;2.18;0.3;41.14;683;316;0
79.96;50;7665.17;2.15;0.32;30.15;767;232;0
80;50;8628.12;2.19;0.31;34.2;640;359;0
80;50;8930.12;2.2;0.31;35.45;603;396;0
80;50;9718.97;2.2;0.3;38.63;600;399;0
79.39;53.35;5000.02;2.2;0.35;18.99;567;432;0
54.4;138.76;5000;4.11;0.45;13.42;54;945;0
74.91;82.16;5000.03;2.55;0.41;15.42;402;597;0
80;50;11458.69;2.12;0.3;45.16;845;153;1
76.65;100.7;5000;2.39;0.43;14.46;459;540;0
65.92;79.68;5000.02;3.33;0.41;15.31;207;792;0
72;68.34;5000.07;2.85;0.39;16.59;306;693;0
57.95;141.07;5000.81;3.94;0.45;13.45;80;919;0
65.49;85.16;5000.09;3.34;0.42;14.91;200;799;0
74.57;64.05;5000.11;2.63;0.38;17.21;370;629;0
79.88;51.35;5000.01;2.15;0.35;19.36;782;217;0
76.58;57.26;5000;2.46;0.36;18.24;435;564;0
76.71;58.63;5000.79;2.45;0.37;18.05;439;560;0
73.67;86.11;5000;2.65;0.41;15.11;360;639;0
71.8;72.12;5016.38;2.85;0.4;16.23;304;695;0
71.48;83.03;5000.05;2.85;0.41;15.25;307;692;0
73.03;103.69;5000;2.71;0.43;14.26;343;656;0
54.13;132.62;5000;4.11;0.45;13.42;59;940;0
72.46;85.83;5000.04;2.76;0.41;15.09;328;671;0
80;50;7480.23;2.13;0.32;29.37;810;189;0
60.86;132;5000.22;3.74;0.45;13.51;126;873;0
80;50;8370.6;2.18;0.31;33.12;676;323;0
80;50.02;5080.62;2.12;0.34;19.88;845;154;0
80;50.01;6557.78;2.08;0.33;25.53;926;73;0
77.1;56.02;5000.56;2.41;0.36;18.46;452;547;0
77.66;51.21;5000.15;2.35;0.35;19.29;488;511;0
80;50;6529.94;2.08;0.33;25.42;928;71;0
56.63;136.57;5000.02;4;0.45;13.44;76;923;0
80;50;5667.73;2.08;0.34;22.02;953;46;0
57.45;135.94;5000.52;3.95;0.45;13.45;84;915;0
75.07;65.73;5000.32;2.59;0.38;17.02;387;612;0
72.41;77.65;5000;2.78;0.4;15.69;328;671;0
79.6;53.84;5001;2.18;0.35;18.92;669;330;0
62.25;123.94;5000.01;3.62;0.44;13.59;152;847;0
80;50;9893.09;2.19;0.3;39.32;621;378;0
79.19;50.8;5000.09;2.21;0.34;19.43;561;438;0
59.39;112.13;5000.06;3.78;0.44;13.71;121;878;0
80;50;9121.13;2.2;0.31;36.23;582;417;0
68.41;72.2;5000.04;3.15;0.4;16.05;242;757;0
79.28;56.67;5000.34;2.22;0.36;18.44;553;446;0
78.93;58.12;5000.16;2.25;0.36;18.21;539;460;0
77.55;58.67;5000.62;2.37;0.36;18.07;472;527;0
78.87;53.35;5000.58;2.25;0.35;18.97;539;460;0
73.96;63.69;5000.19;2.69;0.38;17.23;352;647;0
71.59;142.95;5000.01;3.03;0.44;13.66;249;750;0
77.92;61.32;5000.33;2.34;0.37;17.7;493;506;0
50.58;132.11;5000;4.26;0.45;13.4;26;973;0
79.11;51.32;5000.24;2.22;0.35;19.33;556;443;0
80;50;9228.46;2.2;0.31;36.67;569;430;0
78.96;52.33;5000.71;2.24;0.35;19.15;545;454;0
75.42;66.24;5000.13;2.55;0.38;16.97;400;599;0
73.38;66.82;5000.13;2.73;0.39;16.82;342;657;0
76.82;132.39;5000;2.52;0.44;13.82;396;603;0
80;50;8663.14;2.19;0.31;34.35;635;364;0
69.08;88.47;5000;3.04;0.42;14.82;258;741;0
80;50;8346.43;2.18;0.31;33.02;681;318;0
75.99;68.22;5000;2.5;0.39;16.75;422;577;0
61.41;118.08;5000.54;3.66;0.44;13.65;144;855;0
60.86;129.82;5000.22;3.73;0.45;13.52;129;870;0
70.65;83.19;5000.11;2.92;0.41;15.21;287;712;0
76.66;117.28;5000.01;2.44;0.44;14.01;432;567;0
76.13;79.34;5000.02;2.45;0.4;15.68;441;558;0
78.8;57.48;5000;2.26;0.36;18.3;535;464;0
76.84;75.09;5000;2.4;0.4;16.07;463;536;0
72.38;134.3;5000.02;2.91;0.44;13.71;280;719;0
75.15;75.54;5000.01;2.55;0.4;15.97;405;594;0
80;50;9504.49;2.2;0.3;37.78;577;422;0
73.33;98.4;5000.01;2.67;0.43;14.46;354;645;0
80;50;10860.91;2.16;0.3;43;753;246;0
78.01;50.8;5000.52;2.31;0.34;19.38;504;495;0
73.03;109.49;5000;2.72;0.43;14.09;336;663;0
61.38;101.04;5000.05;3.64;0.43;14.04;146;853;0
77.85;62.16;5000.08;2.35;0.37;17.58;490;509;0
64.36;99.24;5000.05;3.41;0.43;14.18;189;810;0
80;50;10730.32;2.16;0.3;42.52;737;262;0
80;50;10537.1;2.17;0.3;41.79;708;291;0
80;50;7221.24;2.12;0.32;28.28;847;152;0
80;50;9704.29;2.2;0.3;38.58;598;401;0
72.16;79.01;5000;2.8;0.41;15.57;323;676;0
73.09;86.22;5000.02;2.7;0.42;15.08;345;654;0
77.67;68.03;5000.02;2.35;0.38;16.84;491;508;0
80;50;6667.73;2.09;0.33;25.98;912;87;0
56.31;131.55;5000.09;4;0.45;13.45;80;919;0
78.6;60.91;5000.24;2.28;0.37;17.78;522;477;0
80;50;11111.61;2.14;0.3;43.92;794;205;0
64;86.09;5000.06;3.46;0.42;14.81;177;822;0
80;50;10487.26;2.17;0.3;41.61;702;297;0
80;50;6253.82;2.07;0.33;24.3;966;33;0
59.3;122.39;5000.06;3.81;0.44;13.55;113;886;0
78.72;58.26;5000;2.27;0.36;18.18;530;469;0
80;50;8317.95;2.18;0.31;32.9;684;315;0
75.17;68.34;5000.07;2.57;0.39;16.71;397;602;0
80;50;8023.46;2.17;0.32;31.67;729;270;0
76.89;64.05;5000.11;2.43;0.38;17.3;448;551;0
71.59;95.96;5000.03;2.82;0.43;14.51;312;687;0
80;50.01;10253.46;2.18;0.3;40.71;668;331;0
80;50;6700.2;2.09;0.33;26.11;908;91;0
71.67;65.8;5000.07;2.89;0.38;16.88;295;704;0
79.11;51.86;5000.27;2.22;0.35;19.24;552;447;0
79.45;58.35;5000.24;2.2;0.36;18.19;562;437;0
67.01;77.34;5000;3.25;0.41;15.54;225;774;0
