speed;rate;vol;wear;rough;cost;victories;defeats;draws
80;50;5557.8;1.84;0.29;21.58;581;418;0
73.84;50;7056.19;1.52;0.28;28.3;772;227;0
73.71;50.17;6212.34;1.7;0.28;24.68;661;338;0
79.91;50.57;5746.45;1.8;0.29;22.12;566;433;0
71.38;50;9176.56;1.48;0.27;38.64;837;162;0
76.92;149.92;5000.01;2.93;0.37;14.69;57;942;0
73.28;50;6910.26;1.55;0.28;27.74;757;242;0
73.26;50;5322.34;1.97;0.28;21.37;599;400;0
66.76;50.02;5991.99;1.84;0.27;24.62;701;298;0
73.61;124.45;5000;2.76;0.37;15.09;105;894;0
73.88;111.21;5000;2.64;0.37;15.3;152;847;0
75.31;50;5613.37;1.85;0.28;22.23;619;380;0
79.55;50;8543.62;1.39;0.28;33.92;924;75;0
78.63;50;8115.01;1.4;0.28;32.16;890;109;0
80;50;10468.67;1.53;0.27;42.43;774;225;0
79.96;50;10445.18;1.52;0.27;42.34;777;222;0
79.95;50;5472.69;1.87;0.29;21.3;579;420;0
73.73;50.01;8608.69;1.43;0.27;35.52;914;85;0
79.99;50.28;5783.42;1.78;0.29;22.3;578;421;0
76.57;50.06;6762.53;1.55;0.28;26.56;712;287;0
79.95;50.73;5472.69;1.89;0.29;21.17;552;447;0
79.99;50;8301.44;1.39;0.28;32.7;908;91;0
58.57;50.2;5625.08;2.14;0.27;23.75;597;402;0
78.12;50.24;6422.86;1.62;0.29;24.91;646;353;0
78.26;50;9200.82;1.41;0.27;37.25;904;95;0
80;50;8366.29;1.39;0.28;33;912;87;0
73.09;50;6653.79;1.6;0.28;26.65;714;285;0
78.75;50.05;7767.45;1.42;0.28;30.54;848;151;0
79.66;50;10571.63;1.54;0.27;42.93;757;242;0
79.8;50;8566.4;1.38;0.28;33.96;927;72;0
55.8;50;5733.68;2.18;0.27;24.48;568;431;0
78.61;50.24;5192.61;1.99;0.29;20.46;569;430;0
76.81;50.01;10026.72;1.5;0.27;41.27;801;198;0
76.38;50;9428.67;1.44;0.27;38.72;872;127;0
79.99;60.12;5732.56;1.95;0.31;20.52;403;596;0
79.98;64.65;6036.03;1.92;0.32;20.92;356;643;0
65.23;50.02;8213.89;1.55;0.27;35.23;791;208;0
78.28;51.18;5000.01;2.08;0.29;19.72;541;458;0
79.66;50;8814.96;1.39;0.27;35.14;922;77;0
77.27;50;10103.1;1.5;0.27;41.5;793;206;0
79.96;50;8892.23;1.39;0.27;35.42;919;80;0
76.72;50;8931.13;1.41;0.27;36.37;917;82;0
80;50;10513.17;1.53;0.27;42.61;772;227;0
74.53;50;6919.38;1.54;0.28;27.58;747;252;0
64.83;50.01;7696.4;1.58;0.27;32.79;798;201;0
72.69;50.21;6129.31;1.73;0.28;24.47;660;339;0
74.45;121.88;5000.31;2.7;0.37;15.06;125;874;0
80;50.48;5441.86;1.89;0.29;21.11;558;441;0
79.88;78.92;5481.78;2.15;0.35;17.74;373;626;0
74.95;50.01;9662.94;1.48;0.27;40.09;829;170;0
76.89;50;9913.24;1.49;0.27;40.76;819;180;0
80;50;8404.37;1.38;0.28;33.17;916;83;0
76.88;50;7728.3;1.43;0.28;30.76;862;137;0
74.14;60.41;5001.08;2.29;0.31;18.62;382;617;0
73.09;50;5157.68;2.04;0.28;20.81;587;412;0
77.01;149.94;5000.02;2.93;0.37;14.68;59;940;0
79.62;50;10629.01;1.55;0.27;43.18;749;250;0
75.26;50;9745.42;1.49;0.27;40.39;823;176;0
72.96;150;5000.01;3.11;0.37;15.01;2;997;0
62.07;50;5997.87;1.93;0.27;25.13;712;287;0
79.97;50;9306.3;1.41;0.27;37.32;892;107;0
73.46;50.82;5000.01;2.12;0.29;20.1;558;441;0
79.48;50;7614.6;1.43;0.28;29.72;834;165;0
76.75;50;9591.03;1.45;0.27;39.37;857;142;0
79.02;60.89;5562.67;2.02;0.31;19.96;394;605;0
80;66.49;5612.72;2.05;0.33;19.32;372;627;0
76.64;50;9928.91;1.49;0.27;40.89;810;189;0
77.59;50;8147.3;1.4;0.28;32.53;902;97;0
79.7;50;6074.86;1.69;0.29;23.42;616;383;0
73.01;50;7061.94;1.53;0.28;28.47;774;225;0
70.3;50;5683.53;1.88;0.28;22.99;648;351;0
72.02;50.02;6362.88;1.67;0.28;25.56;686;313;0
79.95;69.52;5540.2;2.09;0.33;18.77;392;607;0
80;50.02;8280.83;1.39;0.28;32.6;903;96;0
79.78;54.63;5215.5;2.05;0.3;19.72;479;520;0
79.95;55.84;5472.69;1.98;0.3;20.32;459;540;0
80;50.32;5439.62;1.89;0.29;21.13;562;437;0
71.77;50;8135.07;1.45;0.27;33.68;888;111;0
77.12;50.16;6356.37;1.64;0.28;24.8;647;352;0
68.04;50.04;6087.96;1.79;0.28;24.88;694;305;0
79.98;50.28;5417.46;1.9;0.29;21.07;564;435;0
79.11;50.02;6677.78;1.56;0.29;25.82;684;315;0
77.5;50.02;6663.05;1.57;0.28;26.01;691;308;0
79.46;55.88;5000.05;2.15;0.3;18.91;479;520;0
77.62;50.08;7119.02;1.49;0.28;27.9;755;244;0
