speed;rate;vol;wear;rough;cost;victories;defeats;draws
79.85;74.94;5000;50.51;0.64;7.09;719;280;0
73.21;50;5000;51.98;0.54;9.3;210;789;0
71.85;51.4;5000;51.76;0.55;9.06;260;739;0
78.55;150;5000;55.43;0.83;4.87;9;990;0
79.48;150;5000;55.03;0.82;4.87;33;966;0
80;77.98;5000;50.32;0.65;6.88;782;217;0
76.42;50;5000;52.24;0.53;9.44;168;830;1
76.05;50.01;5000;52.21;0.54;9.42;175;824;0
75.17;50;5000;52.14;0.54;9.38;186;813;0
75.88;50;5000;52.19;0.54;9.42;176;823;0
72;53.78;5000.01;51.59;0.56;8.78;322;677;0
74.91;50;5000.03;52.11;0.54;9.37;191;808;0
80;117.53;5000;50.09;0.75;5.22;844;155;0
72.56;54.08;5000;51.61;0.56;8.76;316;683;0
79.15;150;5000;55.17;0.83;4.87;21;978;0
78.37;150;5000;55.51;0.83;4.87;2;997;0
79.98;125.94;5000;50.82;0.76;5.07;626;373;0
78.5;50;5000;52.41;0.53;9.53;146;853;0
79.99;136.66;5000;52.21;0.79;4.94;174;825;0
78.68;67.5;5000;50.99;0.62;7.64;561;438;0
72.32;50;5000;51.9;0.54;9.26;222;776;1
79.88;135.13;5000;52;0.78;4.95;204;795;0
79.97;121.17;5000;50.37;0.75;5.15;763;236;0
78.41;150;5000;55.49;0.83;4.87;3;996;0
72.23;62.76;5000;50.89;0.61;7.82;596;403;0
79.31;150;5000;55.1;0.82;4.87;27;972;0
79.87;150;5000;54.87;0.82;4.87;42;957;0
79.74;80.51;5000.01;50.14;0.66;6.7;830;169;0
78.13;50;5000.01;52.38;0.53;9.52;150;849;0
74.42;50.07;5000;52.07;0.54;9.34;196;803;0
74.72;50;5000;52.1;0.54;9.36;192;807;0
77.18;68.46;5000.01;50.8;0.62;7.5;634;365;0
73.32;60.77;5000.07;51.12;0.6;8.06;507;492;0
73.91;50.01;5000;52.03;0.54;9.33;200;799;0
79.98;136.42;5000;52.18;0.79;4.94;179;820;0
77.28;50.01;5000;52.31;0.53;9.48;158;841;0
77.3;66.49;5000.01;50.96;0.61;7.68;573;426;0
79.39;150;5000;55.07;0.82;4.87;30;969;0
79.52;75.49;5000;50.45;0.64;7.04;739;260;0
79.96;141.49;5000;53.05;0.8;4.9;100;899;0
80;129.07;5000;51.16;0.77;5.02;492;507;0
72.59;54.67;5000;51.56;0.57;8.7;329;670;0
79.7;135.15;5000;52.05;0.79;4.95;197;802;0
72.32;56.95;5000;51.36;0.58;8.43;411;588;0
73.84;53.53;5000;51.75;0.56;8.89;264;735;0
72.78;60.11;5000.01;51.14;0.59;8.11;502;497;0
79.99;112.88;5000;49.83;0.74;5.33;902;97;0
80;119.13;5000;50.21;0.75;5.19;816;183;0
73;57.4;5000;51.37;0.58;8.41;405;594;0
80;123.92;5000.07;50.61;0.76;5.1;690;309;0
74.41;59.26;5000;51.33;0.59;8.26;428;571;0
79.96;77.57;5000;50.34;0.65;6.91;774;225;0
73.82;50;5000;52.02;0.54;9.32;201;798;0
75.52;50;5000;52.16;0.54;9.4;180;819;0
80;129.9;5000;51.26;0.77;5.01;454;545;0
79.99;133.55;5000;51.75;0.78;4.97;265;734;0
77.38;63.1;5000;51.25;0.6;8;461;538;0
72.27;60.86;5000.02;51.04;0.6;8.01;536;463;0
72.54;52.86;5000;51.7;0.56;8.91;290;709;0
79.99;102.2;5000;49.54;0.72;5.66;982;17;0
76.17;62.96;5000.01;51.16;0.6;7.96;493;506;0
72.09;51.74;5000.01;51.76;0.55;9.03;261;738;0
79.96;125.59;5000;50.78;0.76;5.07;635;364;0
80;142.09;5000;53.15;0.8;4.9;95;904;0
78.85;76.37;5000;50.34;0.65;6.95;773;226;0
73.29;57.15;5000.01;51.42;0.58;8.45;390;609;0
72.34;61.12;5000;51.03;0.6;7.99;538;461;0
80;79.56;5000;50.22;0.66;6.77;813;186;0
78.8;74.44;5000.02;50.47;0.64;7.09;731;268;0
71.72;54.47;5000;51.52;0.57;8.68;351;648;0
79.99;134.79;5000.01;51.93;0.78;4.96;217;782;0
71.58;52.81;5000.01;51.63;0.56;8.88;305;694;0
79.92;73.15;5000;50.65;0.64;7.23;682;317;0
73.98;58.22;5000;51.38;0.58;8.36;402;597;0
68.82;51.68;5002.13;51.56;0.56;8.9;334;665;0
79.96;133.82;5000.03;51.79;0.78;4.97;250;749;0
79.19;150;5000;55.15;0.83;4.87;23;976;0
80;131.38;5000;51.45;0.78;4.99;374;625;0
79.99;75.21;5000;50.5;0.64;7.08;721;278;0
79.99;134.46;5000;51.88;0.78;4.96;226;773;0
76.15;63.64;5000;51.1;0.6;7.89;515;484;0
78.22;50;5000;52.39;0.53;9.52;149;850;0
76.17;61.09;5000.01;51.32;0.59;8.15;434;565;0
78.36;64.35;5000;51.22;0.6;7.92;472;527;0
79.93;141.08;5000;52.98;0.8;4.9;104;895;0
76.95;66.41;5000;50.94;0.61;7.67;581;418;0
77.17;50;5000;52.3;0.53;9.47;159;840;0
74.55;60.35;5000.01;51.25;0.59;8.16;459;540;0
79.9;79.38;5000;50.22;0.66;6.78;811;188;0
77.55;64.14;5000;51.17;0.6;7.91;491;508;0
80;120.77;5000.01;50.33;0.75;5.16;775;224;0
79.98;148.26;5000;54.43;0.81;4.87;56;943;0
79.98;117.14;5000;50.07;0.75;5.23;850;149;0
73.61;62.63;5000;51;0.6;7.89;555;444;0
79.55;150;5000;55;0.82;4.87;35;964;0
72.32;56.66;5000;51.38;0.58;8.46;400;599;0
73.04;59.25;5000;51.23;0.59;8.21;468;531;0
77.3;67.48;5000.01;50.88;0.62;7.59;604;395;0
79.89;98.18;5000;49.54;0.71;5.8;983;16;0
80;92.27;5000;49.64;0.69;6.06;942;57;0
74.34;61.98;5000.02;51.1;0.6;7.98;515;484;0
78.34;69.97;5000;50.77;0.63;7.42;640;359;0
78.89;150;5000;55.28;0.83;4.87;17;981;1
78.92;72.46;5000;50.62;0.64;7.24;690;309;0
